id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
531,92742,Helbreath,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1088,43768,Spriggan: Lunar Verse,"Lunar Verse takes place in the same world as the manga and film but focuses on a new character and goes for a different visual style. Oshiki Tashiki is a new Striker in the ARCAM Private Army, which seeks out ancient artifacts and keeps them from enemies who wish to turn a cold war into an actual one.",1999-06-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1134,789,MiG Alley,NULL,1999-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1261,94744,beatmania complete MIX,NULL,1999-01-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1324,901,The Wheel of Time,NULL,1999-10-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
2181,148421,Picross NP Vol. 2,NULL,1999-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2192,148430,Picross NP Vol. 4,NULL,1999-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2223,148428,Picross NP Vol. 3,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2236,43801,Pop'n Tanks,NULL,1999-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2256,76894,Picross NP Vol. 1,NULL,1999-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2287,148431,Picross NP Vol. 5,NULL,1999-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2894,41441,Brickout!,NULL,1999-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2898,75502,Pachinko Pocket Parlor Guide,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3068,38664,Last Stand,NULL,1999-04-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3235,83305,Pachinko Sexy Reaction 2,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3319,3439,Armorines: Project S.W.A.R.M.,NULL,1999-11-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
3478,77295,Elan Doree,NULL,1999-01-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3631,11091,Amerzone: The Explorer's Legacy,NULL,1999-03-18 00:00:00.000,2,NULL,NULL,NULL,72.6087,8
3700,117319,New Robinson,NULL,1999-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3756,97867,Pro Mahjong Tsuwamono 64: Jansou Battle ni Chousen,NULL,1999-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4036,41474,King of the Mountain,NULL,1999-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4076,120515,Splatterball Plus,NULL,1999-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
4154,37492,SD Gundam: Emotional Jam,NULL,1999-06-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4300,75456,Dokodemo Mahjong Color,NULL,1999-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4302,3614,Tonic Trouble,NULL,1999-08-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4643,65641,Cardcaptor Sakura: Itsumo Sakura-chan to Issho!,NULL,1999-05-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4808,63781,Robbit Mon Dieu,NULL,1999-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4870,78744,Winning Post 4,NULL,1999-09-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4872,20132,Wild Metal Country,NULL,1999-12-31 00:00:00.000,NULL,NULL,80.0000,0,NULL,NULL
5203,28398,SNK vs. Capcom Card Fighters' Clash - Capcom Card Fighter's Version,NULL,1999-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5314,64157,Alex Builds His Farm,"Alex is a lively and cheerful little boy who loves nature and animals. He often goes running along the forest paths with his dog Oscar. All the animals in the forest know him. Alex is also a great dreamer. Sometimes he sits under a tree and turns the pages of his favourite book: The Big Farming Book.  He sits there enjoying the sun, cooled by a gentle breeze. On such occasions Alex sometimes falls asleep and dreams of a magnificent farm with cows, funny little hens and affectionate horses. One day, Alex and Oscar went running in a field at the edge of the forest. In the middle of the field stood a scarecrow to keep the crows away. When Oscar and Alex passed close to the scarecrow they heard a strange noise. Alex was surprised and looked all around, but couldn't see anything strange or unusual. Just as Alex and Oscar were about to continue their race, Alex heard the noise again. It was as if someone was calling him: - Psst! Pssst! Alex, it's me! It was the scarecrow! Alex couldn't believe his eyes. - But...! You can speak! said Alex in surprise. -Yes, of course I can speak, said the scarecrow. But I only speak to children who like animals and nature. Like you, Alex! The scarecrow had a big smile. He looked nice and funny at the same time. He spoke again: -You know what Alex? I often see you sleeping under a tree in the forest. Did you know that when you dream in the middle of the forest, your dreams can come true? - Er... No, I didn't know that, said Alex. -Well, because you're a good little boy and you love nature so much, I'm going to tell you a secret: when you wake up, all you have to do is concentrate very intensely on your dream and do everything you canto make it come true! - That's easy! said Alex. - Yes! But above all, you mustn't forget to have fun! Other wise, it's no longer a dream! - Thanks, Mr Scarecrow! That's a great secret! - Bye, bye! As soon as Alex had finished talking with the scarecrow, he and Miro ran faster than ever in the direction of a large oak tree, the most majestic tree in the forest. Alex was keen to see if the scarecrow had been telling the truth. He sat down under the tree and shut his eyes. He listened to the birds singing and the sound of the wind in the trees, but Alex couldn't manage to fall asleep. He was far too excited by the scarecrow's secret! So he picked up his favourite book, the Good Farmer's Handbook and started to look at the pictures one after the other. Little by little, his eyelids shut and he fell asleep. And dreamt... He dreamt of his family, and a magnificent farm.",1999-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
5678,77505,World Neverland 2: Pluto Kyouwakoku Monogatari,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5827,37500,Kakutou Ryouri Densetsu Bistro Recipe: Wonder Battle Hen,NULL,1999-10-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6051,8540,Extreme Paintbrawl 2,NULL,1999-11-15 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
6611,8431,Boss Rally,NULL,1999-04-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6857,4654,No Fear Downhill Mountain Biking,NULL,1999-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
7147,28399,SNK vs. Capcom Card Fighters' Clash - SNK Card Fighter's Version,NULL,1999-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7233,112655,Deer's Revenge,NULL,1999-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
7333,112896,Die schwarzen Reiter,NULL,1999-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
7697,29326,Mob Rule Classic,NULL,1999-09-08 00:00:00.000,2,NULL,NULL,NULL,70.0000,1
7911,122887,Cookie's Bustle,NULL,1999-03-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7959,39446,Emergency Call Ambulance,NULL,1999-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
